"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-07-11",65.440002,66,64.75,65.029999,1031200,65.029999
"2016-07-08",64.489998,65.400002,64.169998,64.529999,1420700,64.529999
"2016-07-07",62.959999,64.489998,62.779999,63.52,1426800,63.52
"2016-07-06",62.77,63.529999,61.860001,63.470001,1329900,63.470001
"2016-07-05",64.580002,64.68,62.939999,63.549999,1293100,63.549999
"2016-07-01",65.760002,66.269997,65.199997,65.230003,1254200,65.230003
"2016-06-30",64.739998,66.300003,64.309998,66.260002,2474500,66.260002
"2016-06-29",64.360001,65.5,63.66,65.269997,2037300,65.269997
"2016-06-28",62.84,63.639999,61.77,63.57,2125600,63.57
"2016-06-27",64.730003,65,61.32,61.669998,2063600,61.669998
"2016-06-24",68.43,68.43,65.470001,65.5,3729500,65.5
"2016-06-23",70.389999,71.540001,70.18,71.540001,1225900,71.540001
"2016-06-22",69.779999,70.150002,69.330002,69.389999,1039300,69.389999
"2016-06-21",69.580002,69.949997,69.190002,69.529999,1130200,69.529999
"2016-06-20",70.730003,71.050003,69.449997,69.489998,1299600,69.489998
"2016-06-17",69.330002,69.970001,68.849998,69.279999,1305800,69.279999
"2016-06-16",68.900002,69.330002,68.150002,69.279999,1410400,69.279999
"2016-06-15",69.57,70.82,69.440002,69.730003,1190800,69.730003
"2016-06-14",70.459999,71.080002,69.080002,69.43,901100,69.43
"2016-06-13",70.57,71.519997,70.489998,70.669998,1028800,70.669998
"2016-06-10",71.010002,71.5,70.629997,70.980003,1528300,70.980003
"2016-06-09",72.239998,72.5,71.300003,71.870003,1190600,71.870003
"2016-06-08",72.489998,73.07,72.330002,72.68,895500,72.68
"2016-06-07",73.489998,73.489998,72.550003,72.610001,805300,72.610001
"2016-06-03",72.839996,72.989998,71.110001,72.32,2163500,72.32
"2016-06-02",73.57,74.360001,73.449997,74.349998,838400,74.349998
"2016-06-01",72.779999,74.089996,72.589996,74.019997,869300,74.019997
"2016-05-31",74.639999,74.860001,73.779999,74.099998,1413300,73.739997
"2016-05-27",74,74.290001,73.559998,74.239998,1031600,73.879317
"2016-05-26",73.889999,74.160004,73.330002,73.769997,1273100,73.411599
"2016-05-25",73,74.209999,72.690002,74.059998,1506700,73.700191
"2016-05-24",71.959999,73,71.669998,72.629997,1106000,72.277138
"2016-05-23",71.730003,72.449997,70.879997,71.32,1021300,70.973505
"2016-05-20",71.349998,72.389999,71.349998,71.879997,1368000,71.530782
"2016-05-19",71.75,71.800003,70,71,1922100,70.65506
"2016-05-18",68.959999,71.550003,68.580002,71.529999,1607500,71.182484
"2016-05-17",68.699997,69.720001,68.209999,68.93,1065000,68.595117
"2016-05-16",68.660004,69.410004,68.559998,68.989998,696600,68.654823
"2016-05-13",69.309998,70.190002,68.260002,68.470001,1151500,68.137352
"2016-05-12",69.959999,70.589996,68.940002,69.459999,1064000,69.122541
"2016-05-11",70.120003,70.669998,69.389999,69.419998,1215300,69.082734
"2016-05-10",69.150002,70.32,69.150002,70.279999,950800,69.938556
"2016-05-09",68.980003,69.379997,68.43,68.720001,1168800,68.386138
"2016-05-06",68.290001,69.290001,68.040001,69.019997,1456000,68.684676
"2016-05-05",69.639999,69.970001,68.800003,68.989998,1332500,68.654823
"2016-05-04",69.529999,70.080002,68.779999,69.330002,1490100,68.993175
"2016-05-03",70.650002,70.650002,69.190002,70.279999,1339000,69.938556
"2016-05-02",71.75,71.959999,70.769997,71.860001,1004700,71.510882
"2016-04-29",71.220001,71.720001,70.410004,71.080002,1673700,70.734673
"2016-04-28",71.690002,72.510002,71.309998,71.610001,1225500,71.262097
"2016-04-27",72.18,73,71.879997,72.269997,1733900,71.918886
"2016-04-26",71.989998,72.559998,71.809998,72.470001,1335300,72.117919
"2016-04-25",72.169998,72.25,71.120003,71.669998,1741500,71.321803
"2016-04-22",71.660004,72.800003,71.550003,72.360001,1780500,72.008453
"2016-04-21",72.169998,73,71.470001,71.779999,2347800,71.431269
"2016-04-20",71.169998,72.43,70.660004,72.25,1924600,71.898987
"2016-04-19",69.050003,71.900002,68.690002,71.839996,2271700,71.490975
"2016-04-18",67.489998,68.459999,67.029999,68.290001,1392600,67.958227
"2016-04-15",67.93,68.190002,67.040001,67.580002,896000,67.251677
"2016-04-14",65.790001,69.029999,65.790001,67.980003,2131500,67.649735
"2016-04-13",65.620003,67.660004,65.239998,67.610001,1204700,67.28153
