"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-06-01",22.27,22.6,22.129999,22.379999,9316500,22.064034
"2015-05-29",22.139999,22.280001,22.1,22.129999,8379200,21.817564
"2015-05-28",21.84,22.209999,21.799999,22.139999,8191400,21.827423
"2015-05-27",20.870001,21.940001,20.799999,21.84,10808300,21.531659
"2015-05-26",20.76,20.9,20.57,20.73,6493300,20.437329
"2015-05-22",20.940001,21.02,20.809999,20.860001,5314800,20.565495
"2015-05-21",21.049999,21.139999,20.870001,20.889999,5992300,20.59507
"2015-05-20",21.049999,21.299999,21.02,21.040001,4920600,20.742954
"2015-05-19",21.200001,21.27,21,21.040001,6345200,20.742954
"2015-05-18",21.25,21.4,21.15,21.27,8124300,20.873091
"2015-05-15",21.379999,21.48,21.17,21.299999,5395600,20.90253
"2015-05-14",21.01,21.4,20.959999,21.290001,7326300,20.892718
"2015-05-13",20.98,21.139999,20.75,20.950001,7713100,20.559062
"2015-05-12",20.48,21,20.469999,20.83,9720000,20.441301
"2015-05-11",20.540001,20.84,20.379999,20.629999,13603600,20.245032
"2015-05-08",21.01,21.84,20.49,20.83,28663800,20.441301
"2015-05-07",22.01,22.559999,21.940001,22.49,13364100,22.070324
"2015-05-06",22.15,22.360001,21.809999,22.1,7912100,21.687602
"2015-05-05",22.530001,22.559999,21.93,22.030001,7323200,21.618909
"2015-05-04",22.73,22.879999,22.540001,22.610001,5018000,22.188086
"2015-05-01",22.379999,22.82,22.280001,22.75,6424200,22.325473
"2015-04-30",22.030001,22.309999,21.98,22.200001,5471100,21.785737
"2015-04-29",22.15,22.370001,22.049999,22.139999,4878900,21.726855
"2015-04-28",22.16,22.389999,21.950001,22.309999,5862100,21.893683
"2015-04-27",22.1,22.59,21.91,22.200001,6211400,21.785737
"2015-04-24",22.209999,22.219999,21.780001,22.030001,6024000,21.618909
"2015-04-23",21.9,22.43,21.65,22.219999,6484500,21.805362
"2015-04-22",22.190001,22.34,21.85,22.309999,5185500,21.893683
"2015-04-21",22.360001,22.360001,21.950001,22.059999,5761400,21.648348
"2015-04-20",22.299999,22.440001,22.049999,22.09,5790600,21.677789
"2015-04-17",22.02,22.42,22.01,22.200001,7340900,21.785737
"2015-04-16",22.5,22.690001,22.33,22.49,3882100,22.070324
"2015-04-15",22.42,22.799999,22.309999,22.629999,6089000,22.207711
"2015-04-14",22.459999,22.549999,22.139999,22.360001,5506900,21.942751
"2015-04-13",22.709999,22.84,22.450001,22.549999,5918100,22.129204
"2015-04-10",22.549999,22.77,22.469999,22.76,6468200,22.335286
"2015-04-09",21.85,22.6,21.84,22.530001,9485800,22.109579
"2015-04-08",21.879999,22.1,21.67,22.02,9160800,21.609095
"2015-04-07",21.67,22.1,21.549999,21.860001,10349100,21.452081
"2015-04-06",20.969999,21.74,20.75,21.67,12896600,21.265626
"2015-04-02",21.129999,21.190001,20.879999,21.059999,4805100,20.667008
"2015-04-01",21.01,21.08,20.65,21.01,8269200,20.617942
"2015-03-31",21.41,21.43,20.91,20.93,8931900,20.539435
"2015-03-30",21.48,21.58,21.200001,21.469999,6331300,21.069357
"2015-03-27",21.09,21.459999,20.75,21.379999,7957200,20.981037
"2015-03-26",20.610001,21.059999,20.459999,20.969999,7798000,20.578688
"2015-03-25",22.389999,22.389999,20.969999,21.040001,13563800,20.647383
"2015-03-24",22.639999,22.799999,22.299999,22.4,8262000,21.982003
"2015-03-23",22.77,23.07,22.700001,22.709999,10650300,22.286218
"2015-03-20",23.41,23.610001,23.190001,23.469999,11552100,23.032036
"2015-03-19",22.950001,23.299999,22.780001,23.219999,7768900,22.786701
"2015-03-18",23.25,23.370001,22.66,22.870001,10346100,22.443234
"2015-03-17",22.92,23.26,22.76,23.25,7497500,22.816142
"2015-03-16",22.879999,23.110001,22.73,22.969999,5923900,22.541367
"2015-03-13",22.559999,22.76,22.25,22.700001,8982200,22.276406
"2015-03-12",22.66,22.83,22.24,22.67,10174300,22.246966
"2015-03-11",23,23.299999,22.82,22.879999,6553000,22.453046
"2015-03-10",22.709999,23.15,22.67,23,13180300,22.570807
"2015-03-09",22.559999,22.780001,22.51,22.610001,5559700,22.188086
"2015-03-06",22.73,22.84,22.530001,22.549999,6434800,22.129204
"2015-03-05",22.43,22.9,22.370001,22.860001,8076400,22.433421
"2015-03-04",22.1,22.48,22.01,22.43,5671000,22.011444
"2015-03-03",22.43,22.540001,22.110001,22.18,4008600,21.766109
"2015-03-02",22,22.719999,21.969999,22.6,7537800,22.178272
"2015-02-27",22.139999,22.190001,21.98,22.059999,3937300,21.648348
"2015-02-26",22.16,22.33,22.02,22.200001,3821600,21.785737
"2015-02-24",22.16,22.309999,21.959999,22.309999,3733900,21.893683
"2015-02-23",22.33,22.33,22.049999,22.16,3125200,21.663067
"2015-02-20",22.16,22.35,22,22.34,3943800,21.839031
"2015-02-19",22.4,22.440001,22.08,22.18,4235800,21.682619
"2015-02-18",22.35,22.389999,22.08,22.120001,4273700,21.623965
"2015-02-17",22.27,22.49,22.129999,22.379999,5083500,21.878133
"2015-02-13",22.25,22.34,21.91,22.309999,7752100,21.809703
"2015-02-12",22,22.5,21.870001,22.299999,16922600,21.799927
"2015-02-11",21,21,20.67,20.809999,8020800,20.34334
"2015-02-10",20.4,20.959999,20.309999,20.950001,5655100,20.480202
