"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-02-01",72.910004,74.519997,72.650002,73.949997,1739600,73.007132
"2016-01-29",72.25,73.470001,72.18,73.349998,2020300,72.414784
"2016-01-28",71.839996,72.010002,70.620003,71.889999,1921300,70.9734
"2016-01-27",71.860001,72.760002,71.010002,71.519997,2266800,70.608115
"2016-01-25",70.25,70.730003,69.769997,69.879997,1353600,68.989025
"2016-01-22",69.699997,71,69.25,70.610001,1601200,69.709721
"2016-01-21",68.260002,69.230003,67.089996,68.650002,1198700,67.774712
"2016-01-20",68.010002,68.699997,66.480003,67.940002,2177300,67.073765
"2016-01-19",70.43,70.720001,68.690002,68.889999,1748700,68.01165
"2016-01-15",68.940002,70.040001,68.830002,69.669998,1472300,68.781704
"2016-01-14",69.559998,71.089996,69.010002,70.75,1364100,69.847935
"2016-01-13",70.940002,71.239998,69.139999,69.25,1113500,68.36706
"2016-01-12",70.290001,71.110001,70.07,70.800003,1556100,69.897301
"2016-01-11",70.230003,70.559998,68.849998,69.650002,1714600,68.761962
"2016-01-08",71.160004,71.410004,69.709999,69.900002,1502600,69.008774
"2016-01-07",70.419998,71.709999,69.970001,70.510002,1721700,69.610998
"2016-01-06",73.18,73.440002,71.57,71.940002,2415200,71.022765
"2016-01-05",74.040001,74.239998,73.169998,73.959999,1820400,73.017007
"2016-01-04",74.389999,74.440002,72.809998,73.57,2150700,72.63198
"2015-12-31",74.900002,76.470001,74.440002,75.660004,2015300,74.695336
"2015-12-30",77.089996,77.57,76.580002,76.629997,1632800,75.652963
"2015-12-29",76.949997,77.239998,76.519997,77.150002,1474900,76.166337
"2015-12-28",75.82,76.529999,75.720001,76.510002,1251700,75.534497
"2015-12-24",76.199997,76.629997,75.800003,76.080002,900000,75.10998
"2015-12-23",75.629997,76.419998,75.360001,76.330002,1827700,75.356792
"2015-12-22",74.589996,75.580002,74.169998,75.410004,1580200,74.448524
"2015-12-21",74.260002,74.5,73.919998,74.389999,1281500,73.441525
"2015-12-18",73.519997,74.199997,73.290001,73.620003,2078100,72.681346
"2015-12-17",74.699997,74.739998,73.529999,73.669998,2057000,72.730704
"2015-12-16",73.980003,74.889999,73.559998,74.730003,1906800,73.777194
"2015-12-15",74.389999,74.739998,73.769997,73.980003,1994500,72.543129
"2015-12-14",74.449997,75.199997,73.669998,74.089996,2141700,72.650985
"2015-12-10",75.190002,76.169998,75.07,75.440002,1540300,73.974771
"2015-12-09",75.849998,76.589996,74.68,75.010002,2398300,73.553123
"2015-12-08",76.120003,76.639999,75.660004,76.309998,2424000,74.827869
"2015-12-07",75.010002,77.089996,74.620003,76.529999,3788900,75.043597
"2015-12-04",74.269997,75.660004,74.190002,75.239998,2373800,73.778651
"2015-12-03",74.169998,74.580002,73.480003,74.099998,2056100,72.660793
"2015-12-02",75.050003,75.220001,74.059998,74.139999,1202300,72.700017
"2015-12-01",74.419998,75.160004,74.190002,75,1956700,73.543315
"2015-11-30",73.949997,74.099998,73.209999,73.919998,1727400,72.484289
"2015-11-27",73.790001,74.300003,73.110001,73.690002,545700,72.25876
"2015-11-25",73.059998,74.400002,72.690002,74.040001,1215400,72.601961
"2015-11-24",73.260002,73.260002,72.139999,73.010002,1429900,71.591967
"2015-11-23",73.75,74.220001,73.300003,73.879997,1360500,72.445065
"2015-11-20",73.220001,73.75,73.220001,73.75,1302800,72.317593
"2015-11-19",72.849998,73.489998,72.480003,73.150002,1266400,71.729248
"2015-11-18",72.209999,73,71.989998,72.889999,1655600,71.474295
"2015-11-17",73.040001,73.410004,71.82,72.029999,1596200,70.630998
"2015-11-16",71.43,73.07,71.190002,72.989998,1620100,71.572352
"2015-11-13",72.540001,72.660004,71.449997,71.529999,966600,70.140709
"2015-11-12",72.599998,73.150002,72.440002,72.629997,1202400,71.219343
