"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-06-01",15.6,15.65,15.42,15.53,3184900,14.873065
"2015-05-29",15.59,15.62,15.42,15.56,3996200,14.901797
"2015-05-28",15.47,15.57,15.42,15.56,2140800,14.901797
"2015-05-27",15.39,15.54,15.32,15.51,1906000,14.853912
"2015-05-26",15.43,15.44,15.26,15.35,2042600,14.70068
"2015-05-21",15.46,15.53,15.39,15.45,2092500,14.796449
"2015-05-20",15.57,15.57,15.4,15.53,2825200,14.873065
"2015-05-19",15.44,15.57,15.38,15.57,3151100,14.911373
"2015-05-18",15.2,15.42,15.17,15.38,3292500,14.729411
"2015-05-15",15.44,15.44,15.23,15.24,2734600,14.595333
"2015-05-14",15.4,15.43,15.31,15.41,2132300,14.758141
"2015-05-13",15.33,15.43,15.23,15.37,3957100,14.719834
"2015-05-12",15.32,15.41,15.17,15.31,3463100,14.662372
"2015-05-11",15.28,15.36,15.19,15.33,3382900,14.681526
"2015-05-08",15.24,15.35,15.15,15.33,3600800,14.681526
"2015-05-07",15.2,15.28,15.08,15.17,4472600,14.528294
"2015-05-06",15.13,15.24,14.97,15.24,4935200,14.595333
"2015-05-05",15.12,15.24,15.04,15.07,3131000,14.432524
"2015-05-04",14.98,15.17,14.97,15.16,1816500,14.518717
"2015-05-01",15.22,15.27,14.95,14.99,2829500,14.355908
"2015-04-30",15.12,15.33,15.05,15.11,5721900,14.470832
"2015-04-29",15.13,15.27,15.1,15.18,2938200,14.537871
"2015-04-28",15.09,15.33,15.09,15.33,3228000,14.520632
"2015-04-27",15.2,15.24,15.03,15.08,2412900,14.283831
"2015-04-24",15.21,15.25,15.1,15.15,1886800,14.350135
"2015-04-23",15.33,15.36,15.21,15.22,1715200,14.41644
"2015-04-22",15.31,15.35,15.12,15.33,2978100,14.520632
"2015-04-21",15.36,15.39,15.24,15.31,3075500,14.501688
"2015-04-20",15.09,15.37,15.06,15.31,3860300,14.501688
"2015-04-17",15.23,15.27,15.03,15.04,4194500,14.245943
"2015-04-16",15.31,15.4,15.06,15.23,4255600,14.425911
"2015-04-15",15.13,15.3,15.01,15.19,4286500,14.388023
"2015-04-14",15.14,15.23,14.92,15.09,4672600,14.293303
"2015-04-13",15.05,15.25,15,15.15,3719300,14.350135
"2015-04-10",15.06,15.11,15.02,15.07,1392200,14.274359
"2015-04-09",15.12,15.17,14.93,15.03,2546400,14.23647
"2015-04-08",15.15,15.23,15.04,15.12,2481100,14.321719
"2015-04-07",15.1,15.28,15.07,15.13,1805000,14.331191
"2015-04-06",15.11,15.18,14.99,15.14,2237900,14.340663
