"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-04-01",46.41,46.599998,45.799999,46.349998,779000,46.099628
"2016-03-31",46.290001,46.610001,46.16,46.529999,639700,46.278656
"2016-03-30",46.07,46.48,45.91,46.310001,500800,46.059847
"2016-03-29",44.849998,45.970001,44.73,45.93,493800,45.681899
"2016-03-28",44.75,44.990002,44.5,44.810001,640300,44.56795
"2016-03-24",45.639999,45.639999,44.139999,44.66,1184100,44.418759
"2016-03-22",45.240002,45.880001,45.040001,45.790001,688700,45.542656
"2016-03-21",45.049999,45.439999,44.77,45.41,724300,45.164707
"2016-03-18",45.220001,45.740002,45.040001,45.25,1076300,45.005572
"2016-03-17",44.950001,45.209999,44.169998,45.209999,1084300,44.965787
"2016-03-16",44.360001,45.060001,44.18,44.869999,940000,44.627623
"2016-03-15",43.950001,44.34,43.610001,44.200001,909000,43.961244
"2016-03-14",44.43,44.43,44.060001,44.09,776400,43.851838
"2016-03-11",43.869999,44.400002,43.549999,44.34,963700,44.100487
"2016-03-10",44.130001,44.310001,43.029999,43.48,789300,43.245132
"2016-03-09",44.220001,44.380001,43.669998,43.869999,754700,43.633025
"2016-03-08",44.419998,44.580002,43.950001,44.09,471100,43.851838
"2016-03-07",44.599998,44.990002,44.369999,44.689999,581600,44.448595
"2016-03-04",44.529999,44.84,44.16,44.66,544500,44.418759
"2016-03-03",43.619999,44.700001,43.59,44.59,607000,44.349137
"2016-03-02",43.939999,43.990002,43.450001,43.779999,502100,43.543511
"2016-03-01",43.529999,44.029999,43.139999,44,1271900,43.762324
"2016-02-29",44.389999,44.470001,43.439999,43.439999,1257600,43.205347
"2016-02-26",45.330002,45.790001,44.259998,44.470001,1013300,44.229786
"2016-02-25",43.790001,45.509998,43.5,45.09,2234200,44.846436
"2016-02-24",44.48,45.310001,44.060001,44.950001,1045900,44.707193
"2016-02-23",45.049999,45.32,44.459999,44.91,686900,44.667408
"2016-02-22",45.630001,46.110001,45.049999,45.360001,818900,45.114978
"2016-02-19",44.360001,44.630001,43.740002,44.470001,814900,44.229786
"2016-02-18",44.419998,44.720001,44.040001,44.459999,1007400,44.219838
"2016-02-17",43.59,44.380001,43.299999,44.240002,990700,44.001029
"2016-02-16",42.639999,43.599998,42.330002,43.57,1119000,43.334646
"2016-02-12",42.009998,42.549999,41.619999,42.48,845300,42.250534
