"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-05-30",203.059998,205.320007,202.740005,204.610001,440700,200.419678
"2014-05-29",202.720001,203.600006,201.759995,203.369995,380700,199.205067
"2014-05-28",202.419998,203.910004,201.710007,201.710007,429400,197.579075
"2014-05-27",203.690002,203.690002,201.820007,202.020004,436400,197.882723
"2014-05-23",200.149994,202.710007,199.770004,202.410004,592400,198.264736
"2014-05-22",200.289993,201.479996,199.649994,200.440002,338800,196.335079
"2014-05-21",200.429993,201.449997,199.339996,200.440002,450200,196.335079
"2014-05-20",199.75,201.570007,199.490005,200.320007,649000,196.217542
"2014-05-19",199.399994,201.710007,199.309998,199.429993,480900,195.345754
"2014-05-16",198.199997,199.940002,197.080002,199.839996,521600,195.747361
"2014-05-15",198.429993,199.070007,195.850006,198.350006,496100,194.287885
"2014-05-14",199.75,200.210007,198.710007,198.919998,384900,194.846204
"2014-05-13",201.699997,202.160004,200.029999,200.259995,461100,195.620019
"2014-05-12",200.039993,202.580002,199.559998,201.839996,614100,197.163413
"2014-05-09",197.509995,199.860001,196.119995,199.800003,465200,195.170686
"2014-05-08",199.320007,199.889999,196.679993,197.460007,677600,192.884907
"2014-05-07",199.509995,200.070007,197.289993,199.25,651100,194.633426
"2014-05-06",198.960007,199.860001,197.330002,198.429993,611700,193.832418
"2014-05-05",199.309998,200.740005,198.289993,199.660004,500500,195.03393
"2014-05-02",199.880005,201.570007,199.830002,200.860001,597600,196.206123
"2014-05-01",199.5,200.389999,198.630005,199.889999,435700,195.258597
"2014-04-30",199.539993,200.460007,199.199997,199.839996,675700,195.209752
"2014-04-29",199.199997,200,197.380005,199.789993,574800,195.160908
"2014-04-28",201.899994,202,195.610001,198.820007,956000,194.213396
"2014-04-25",200.169998,201.009995,198.990005,200.729996,896800,196.079131
"2014-04-24",203.619995,203.929993,200.369995,201.039993,667400,196.381946
"2014-04-23",203.399994,204.309998,201.820007,201.949997,690100,197.270865
"2014-04-22",197.759995,203.050003,197.649994,202.729996,861900,198.032791
"2014-04-21",198.509995,199.380005,196.559998,197.759995,636700,193.177944
"2014-04-17",194,200,193.300003,197.589996,1405500,193.011884
"2014-04-16",193.479996,194.240005,191.289993,192.25,898000,187.795614
"2014-04-15",190.589996,191.759995,188.25,191.559998,723500,187.121599
"2014-04-14",189.570007,192.210007,188.460007,190.110001,534300,185.705198
"2014-04-11",188.669998,191.070007,188.25,188.529999,541500,184.161805
"2014-04-10",194.369995,195.360001,189.690002,190.029999,567100,185.62705
"2014-04-09",192.889999,194.770004,191.460007,194.639999,630400,190.130238
"2014-04-08",190.639999,192.440002,189.550003,191.899994,550800,187.453718
"2014-04-07",195.089996,195.729996,190.020004,190.320007,951200,185.910339
"2014-04-04",198.820007,199.100006,192.330002,193.889999,1523900,189.397615
"2014-04-03",200.770004,202.979996,199.279999,200.5,665500,195.854464
"2014-04-02",198.919998,200.979996,198.029999,200.070007,605000,195.434434
"2014-04-01",197.729996,199.210007,196.979996,199.089996,493800,194.47713
"2014-03-31",195.479996,197.350006,194.729996,197.130005,399200,192.562551
