"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-04-01",207.5,209.919998,206.899994,209.100006,1256800,207.46033
"2016-03-31",206.240005,208.119995,205.929993,207.690002,1442300,206.061383
"2016-03-30",207.380005,207.679993,205.649994,205.729996,929200,204.116746
"2016-03-29",203.820007,207.059998,203.520004,206.940002,1085100,205.317264
"2016-03-28",201.940002,203.729996,200.949997,203.070007,625800,201.477616
"2016-03-24",200.369995,201.729996,199.779999,201.440002,731600,199.860393
"2016-03-23",201.080002,203.179993,200.910004,201.5,1068200,199.91992
"2016-03-22",202.559998,203.399994,201.389999,202.369995,1011700,200.783093
"2016-03-21",205.580002,205.779999,202.369995,203,1082600,201.408158
"2016-03-18",205.050003,206.880005,203.440002,204.960007,2486800,203.352795
"2016-03-17",200.789993,206,200.039993,205.130005,1702300,203.52146
"2016-03-16",198.759995,201.270004,197.169998,200.539993,915000,198.967441
"2016-03-15",198.380005,199.940002,198.080002,199.639999,888900,198.074505
"2016-03-14",200.259995,201.570007,197.639999,199.089996,1433900,197.528815
"2016-03-11",200.520004,201.309998,198.179993,201.309998,1527700,199.731408
"2016-03-10",198.869995,199.880005,195.990005,198.020004,1029000,196.467213
"2016-03-09",198.139999,199.470001,197.350006,197.770004,1000600,196.219174
"2016-03-08",198.320007,199.470001,197.039993,197.690002,1003800,196.139799
"2016-03-07",198.059998,200.080002,197.25,199.649994,1193100,198.084421
"2016-03-04",197.270004,198.589996,195.330002,198.520004,1503800,196.963292
"2016-03-03",196.270004,197.550003,193.350006,197.410004,1366100,195.861996
"2016-03-02",194.380005,195.729996,193.669998,195.289993,1099500,193.75861
"2016-03-01",190.770004,194.660004,190.699997,194.559998,1226200,193.034338
"2016-02-29",190.789993,192.820007,189.029999,189.729996,1734300,188.242211
"2016-02-26",192.029999,192.910004,190.350006,190.399994,979300,188.906956
"2016-02-25",190.669998,192.149994,189.910004,191.940002,899100,190.434888
"2016-02-24",188.960007,190.360001,186.940002,189.169998,776100,187.686605
"2016-02-23",189.360001,191.710007,189.059998,189.679993,832400,188.1926
"2016-02-22",189.449997,192.429993,188.949997,189.429993,1122500,187.944561
"2016-02-19",187.979996,190.039993,186.419998,189.449997,1341000,187.964408
"2016-02-18",186.520004,189.979996,186.429993,189.259995,863800,187.775896
"2016-02-17",187.970001,189.490005,187.039993,187.110001,1302800,185.642761
"2016-02-16",185.649994,187.050003,183.550003,186.350006,1538800,184.888726
"2016-02-12",183.419998,184.669998,181.440002,183.529999,1633200,182.090832
"2016-02-11",178.529999,182.25,178.130005,181.490005,1943200,180.066836
"2016-02-10",177.809998,182.960007,177.809998,181.210007,1445700,179.789033
"2016-02-09",179.949997,181.179993,176.110001,178.929993,2102600,175.939446
"2016-02-08",184.550003,184.550003,178.649994,182.479996,1839300,179.430116
"2016-02-05",186.229996,187.110001,182.850006,183.979996,1447700,180.905046
"2016-02-04",187.960007,188.679993,186.050003,187.580002,1191000,184.444883
"2016-02-03",187.210007,188.779999,184.380005,188.300003,1387800,185.152851
"2016-02-02",188.089996,188.419998,184.929993,186.110001,1450900,182.999451
