"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-10-31",107.830002,107.949997,106.980003,107,4461100,102.465017
"2014-10-30",105.209999,106.589996,104.699997,106.339996,2890400,101.832987
"2014-10-29",106.720001,107.269997,105.419998,105.849998,4060700,101.363756
"2014-10-27",103.790001,104.300003,103.489998,104.190002,2957500,99.774116
"2014-10-24",103.160004,103.870003,102.800003,103.82,3657900,99.419795
"2014-10-23",102.870003,103.940002,102.459999,103.18,5691500,98.806921
"2014-10-22",103.110001,103.110001,101.059998,101.18,6181400,96.891687
"2014-10-21",104.120003,104.150002,100.68,101.980003,12554100,97.657783
"2014-10-20",101.419998,101.769997,100.970001,101.480003,6394300,97.178975
"2014-10-17",100.300003,101.980003,100.239998,101.529999,7282000,97.226851
"2014-10-16",98.160004,100.089996,97.949997,99.230003,6099100,95.024337
"2014-10-15",99.059998,99.589996,97.300003,99.169998,7105000,94.966875
"2014-10-14",99.709999,101.110001,99.580002,100.120003,4573000,95.876615
"2014-10-13",100.050003,100.959999,99.220001,99.309998,5111200,95.10094
"2014-10-10",99.989998,100.769997,99.25,99.940002,6678100,95.704244
"2014-10-09",102.25,102.709999,99.830002,99.940002,6739600,95.704244
"2014-10-08",101.699997,102.699997,100.690002,102.629997,6249400,98.280229
"2014-10-07",103.839996,103.989998,101.379997,101.419998,5991500,97.121513
"2014-10-06",105.059998,105.540001,103.75,104.220001,2981900,99.802843
"2014-10-03",103.910004,104.580002,103.599998,104.419998,3044800,99.994364
"2014-10-02",103.709999,103.970001,102.449997,103.239998,4034300,98.864375
"2014-10-01",105.199997,105.25,103.440002,103.839996,5864700,99.438944
"2014-09-30",105.540001,106.209999,105.07,105.599998,5014100,101.124352
"2014-09-29",104.400002,105.489998,104.269997,105.080002,2896800,100.626395
"2014-09-26",104.25,105.379997,104.25,105.239998,4076400,100.779609
"2014-09-25",106,106.059998,104.300003,104.489998,3936200,100.061397
"2014-09-24",105.629997,106.25,105.139999,106.07,3826800,101.574433
"2014-09-23",106.480003,106.480003,105.040001,105.419998,3839100,100.951981
"2014-09-22",108.029999,108.459999,106.370003,106.470001,4142300,101.957482
"2014-09-19",109.099998,109.199997,108.160004,108.449997,5947500,103.853559
"2014-09-18",107.410004,108.660004,107.410004,108.519997,3439700,103.920592
"2014-09-17",108.660004,108.949997,107.620003,108.029999,4109000,103.451362
"2014-09-16",107.830002,108.860001,107.290001,108.540001,3089800,103.939748
"2014-09-15",108.279999,108.470001,107.75,108.32,2515000,103.729072
"2014-09-12",108.209999,108.639999,107.949997,108.349998,2920400,103.757799
"2014-09-11",108.279999,108.730003,108.050003,108.510002,2270600,103.911021
"2014-09-10",108.669998,109.220001,108.089996,108.5,2364600,103.901443
"2014-09-09",108.760002,108.980003,108.410004,108.669998,2114600,104.064236
"2014-09-08",108.900002,108.940002,108.480003,108.599998,3785400,103.997203
"2014-09-05",109.510002,109.510002,108.379997,108.699997,2793100,104.092963
"2014-09-04",109.489998,109.650002,109.059998,109.220001,2856600,104.590928
"2014-09-03",109.989998,110,108.82,109.199997,2629700,104.571772
"2014-09-02",108.260002,109.07,107.720001,109.040001,4142800,104.418557
"2014-08-29",109.110001,109.349998,107.709999,107.980003,4717300,103.403485
"2014-08-28",108.800003,109.230003,108.279999,109.110001,2124200,104.48559
"2014-08-27",110.199997,110.339996,108.870003,109.089996,2548100,104.466433
"2014-08-26",109.900002,110.169998,109.639999,109.68,2022500,105.031431
"2014-08-25",109.68,110.150002,109.68,109.82,1732800,105.165497
"2014-08-22",109.790001,109.940002,109.239998,109.389999,2364900,104.753721
"2014-08-21",110,110.220001,109.5,110.059998,2847600,105.395323
"2014-08-20",108.599998,109.870003,108.559998,109.709999,4502200,105.060159
"2014-08-19",108.18,108.580002,107.690002,108.559998,3961600,103.958898
"2014-08-18",106.660004,108.120003,106.480003,108.089996,5036900,103.508816
"2014-08-15",106.309998,106.360001,104.940002,105.629997,3106700,101.153079
"2014-08-14",105.550003,106.050003,105.5,105.769997,2327200,101.287145
"2014-08-13",104.779999,105.769997,104.779999,105.559998,3487700,101.086047
"2014-08-12",105.349998,105.800003,104.769997,104.910004,4352900,99.898607
"2014-08-11",106.57,106.849998,105.68,105.720001,3262600,100.669912
"2014-08-08",104.669998,105.980003,104.120003,105.959999,4479800,100.898445
"2014-08-07",104.389999,104.57,103.739998,104.220001,4155700,99.241565
"2014-08-06",104.25,104.550003,103.139999,103.790001,5408700,98.832105
"2014-08-05",104.82,105.720001,104.480003,105.019997,5579300,100.003345
"2014-08-04",105.040001,105.339996,104.400002,105.050003,3982700,100.031918
"2014-08-01",104.919998,105.809998,104.25,104.75,4731300,99.746246
"2014-07-31",105.699997,106.57,105.099998,105.150002,6528500,100.12714
"2014-07-30",107.809998,108.150002,106.07,106.379997,5977500,101.298381
"2014-07-29",108.809998,109.25,107.209999,107.330002,5480700,102.203005
"2014-07-28",109.010002,109.169998,108.080002,108.989998,5391400,103.783706
"2014-07-25",108.639999,109.199997,108.43,108.879997,4348900,103.678959
"2014-07-24",110,110.190002,108.790001,108.949997,6811900,103.745615
"2014-07-23",110.650002,110.910004,109.550003,109.730003,6990800,104.488362
"2014-07-22",113.860001,114,109.110001,110.860001,10527200,105.564381
"2014-07-21",113.419998,113.5,112.57,112.980003,5187800,107.583114
"2014-07-18",113.010002,113.660004,112.790001,113.57,4244900,108.144927
"2014-07-17",113.93,114.110001,112.720001,112.769997,4875600,107.383139
"2014-07-16",115.269997,115.269997,114.230003,114.360001,3503700,108.897191
"2014-07-15",115.160004,116.25,114.639999,114.839996,4488700,109.354258
"2014-07-14",114.980003,115.349998,114.669998,114.879997,3017400,109.392348
"2014-07-11",113.800003,114.550003,113.540001,114.129997,3697600,108.678175
"2014-07-10",112.790001,113.919998,112.440002,113.510002,3654800,108.087796
"2014-07-09",114.349998,114.5,113.379997,113.839996,3358400,108.402027
"2014-07-08",114.75,115.099998,113.949997,114.07,2861900,108.621043
"2014-07-07",115.610001,115.800003,114.709999,115.099998,3779200,109.60184
"2014-07-03",115.519997,116,115.389999,115.529999,1746000,110.0113
"2014-07-02",115.980003,115.980003,114.699997,115.139999,3821500,109.639931
"2014-07-01",115.970001,116.470001,115.5,115.93,3245300,110.392194
"2014-06-30",116.389999,116.389999,115.199997,115.449997,3377200,109.93512
"2014-06-27",115.730003,116.580002,115.480003,116.580002,9124000,111.011146
"2014-06-26",116.059998,116.220001,115.059998,115.75,2914100,110.220792
"2014-06-25",115.639999,116.339996,115.360001,116.120003,2467300,110.573121
"2014-06-24",116.690002,116.989998,115.650002,115.68,2770300,110.154136
"2014-06-23",117.779999,117.93,116.709999,117.129997,2101000,111.534869
"2014-06-20",118.110001,118.279999,117.440002,117.989998,5249700,112.353789
"2014-06-19",117.470001,117.739998,116.660004,117.580002,2256900,111.963378
"2014-06-18",117.089996,117.470001,115.93,117.230003,2896300,111.630098
"2014-06-17",116.370003,117.360001,116.199997,117.010002,2244000,111.420606
"2014-06-16",116.529999,117.209999,116.199997,116.870003,1809700,111.287294
"2014-06-13",116.919998,117.269997,116.300003,116.790001,1919700,111.211114
"2014-06-12",117.849998,118.239998,116.559998,116.849998,2537500,111.268245
"2014-06-11",118.599998,118.690002,117.860001,118.300003,2167200,112.648985
"2014-06-10",119.690002,119.839996,118.559998,119.129997,2620100,113.439332
"2014-06-09",119,120.190002,118.480003,120.089996,3177100,114.353473
"2014-06-06",118.43,118.900002,118.279999,118.900002,1958000,113.220323
"2014-06-05",117.279999,118.400002,116.93,118.169998,2803300,112.525191
"2014-06-04",117.900002,117.980003,116.82,117.139999,2778400,111.544393
"2014-06-03",118,118.220001,117.559998,117.82,5362600,112.191911
"2014-06-02",116.410004,117.550003,116.199997,117.400002,2690700,111.791976
"2014-05-30",116.290001,116.790001,115.779999,116.220001,3661800,110.668342
"2014-05-29",116.230003,116.650002,115.790001,116.349998,2279200,110.79213
"2014-05-28",115.93,116.550003,115.830002,115.949997,1977400,110.411236
"2014-05-27",116.089996,116.330002,115.650002,115.849998,1988300,110.316014
"2014-05-23",115.059998,115.660004,114.93,115.540001,1505100,110.020825
"2014-05-22",114.470001,115.510002,114.279999,115.040001,2176400,109.544709
"2014-05-21",113.599998,114.959999,113.599998,114.839996,3330100,109.354258
"2014-05-20",114.830002,115.129997,112.599998,113.099998,3751200,107.697377
"2014-05-19",114.07,115.57,113.919998,115.019997,3205300,109.52566
"2014-05-16",115.870003,116.220001,114.480003,114.580002,4486300,109.106683
"2014-05-15",117.050003,117.25,115.339996,115.699997,2864200,110.173178
"2014-05-14",118.559998,118.57,117.160004,117.32,1767800,111.715795
"2014-05-13",119.019997,119.190002,118.68,118.739998,2077100,112.506147
"2014-05-12",117.440002,118.75,117.389999,118.629997,2795300,112.401921
"2014-05-09",116.82,117.279999,116.150002,116.989998,2185000,110.848022
"2014-05-08",116.870003,118.089996,116.779999,117.019997,2520200,110.876446
"2014-05-07",116.269997,117.07,115.629997,116.910004,2605300,110.772227
"2014-05-06",116.330002,116.620003,115.910004,116.010002,1958000,109.919476
"2014-05-05",116.029999,117.150002,115.510002,116.82,2825300,110.686949
"2014-05-02",116.029999,117.419998,115.849998,116.519997,5802400,110.402696
"2014-05-01",118.029999,118.519997,116.610001,116.800003,4122100,110.668002
"2014-04-30",117.610001,118.830002,117.470001,118.330002,2841100,112.117676
"2014-04-29",117.919998,118.349998,117.059998,117.559998,2983400,111.388097
"2014-04-28",117.82,118.379997,116.389999,117.699997,3378100,111.520746
"2014-04-25",118.459999,118.849998,116.889999,117.209999,3439400,111.056473
"2014-04-24",120.080002,120.080002,118.550003,118.980003,2150300,112.733552
"2014-04-23",119.080002,119.940002,118.940002,119.650002,2683300,113.368375
"2014-04-22",119.279999,120.660004,119,119.190002,4189300,112.932526
"2014-04-21",118.68,119.059998,118.190002,118.300003,2685000,112.089252
"2014-04-17",118.5,119.290001,118.099998,118.57,3314100,112.345074
"2014-04-16",117,118.089996,115.910004,118.07,2926400,111.871324
"2014-04-15",115.300003,116.080002,113.93,115.839996,2794000,109.758395
"2014-04-14",114.720001,115.300003,113.949997,114.940002,2280700,108.905651
"2014-04-11",114.150002,115.209999,113.540001,113.93,3111900,107.948674
"2014-04-10",117.010002,117.410004,114.489998,114.559998,3075600,108.545597
"2014-04-09",116.07,117.07,115.599998,117.040001,2552300,110.8954
"2014-04-08",115.82,116.349998,114.940002,115.769997,2442900,109.692071
"2014-04-07",117.199997,118.660004,116.110001,116.18,3493800,110.080549
"2014-04-04",120.239998,120.489998,117.980003,118.18,3700000,111.975549
"2014-04-03",119.989998,120,119.120003,119.769997,3775300,113.482071
"2014-04-02",119.610001,120.129997,118.75,119.870003,7473200,113.576826
"2014-04-01",117.089996,118,116.779999,117.919998,3304000,111.729197
"2014-03-31",115.480003,116.959999,115.279999,116.839996,3605400,110.705895
"2014-03-28",114.199997,115.440002,114.120003,114.809998,2457100,108.782472
"2014-03-27",114.290001,114.699997,113.300003,113.800003,2403200,107.825502
"2014-03-26",115.849998,116.290001,114.580002,114.580002,3462600,108.564551
"2014-03-25",114.370003,115.239998,113.790001,115.199997,3453300,109.151996
"2014-03-24",114.970001,115.199997,112.93,113.75,3124900,107.778124
"2014-03-21",116.519997,117.599998,114.410004,114.57,10342400,108.555074
"2014-03-20",114.029999,114.5,113,113.769997,2895500,107.797071
"2014-03-19",114.639999,115.099998,112.839996,114.010002,2972400,108.024476
"2014-03-18",114.709999,115.290001,114.339996,114.68,2554900,108.659299
"2014-03-17",113.169998,114.879997,113.050003,114.410004,3993600,108.403477
"2014-03-14",113.040001,114.360001,112.419998,112.599998,4213800,106.688497
"2014-03-13",116.019997,116.5,112.32,112.889999,5926400,106.963273
"2014-03-12",115.410004,115.830002,114.510002,115.809998,3184200,109.729972
"2014-03-11",117.790001,117.82,115.5,115.639999,3350400,109.568898
"2014-03-10",118.199997,118.400002,116.900002,117.769997,2474300,111.587071
"2014-03-07",118.239998,118.400002,117.599998,118.309998,2912900,112.098722
"2014-03-06",118.080002,118.199997,117.260002,117.760002,1786900,111.577601
"2014-03-05",118.160004,118.419998,117.330002,117.410004,2487400,111.245977
"2014-03-04",117.800003,118.169998,117.150002,117.589996,3217100,111.41652
"2014-03-03",115.599998,117.099998,115.449997,116.760002,3125600,110.630101
"2014-02-28",116.919998,117.910004,116.199997,117.019997,3272200,110.876446
