"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-02-27",81.279999,83.769997,81.07,83.080002,8902500,81.311293
"2015-02-26",79.900002,81.830002,79.639999,81.650002,6623600,79.911736
"2015-02-25",80.25,80.410004,79.639999,80.010002,3085000,78.306651
"2015-02-24",78.330002,80.790001,78.239998,80.389999,6366200,78.678558
"2015-02-23",77.370003,78.870003,77.279999,78.589996,6041300,76.916876
"2015-02-20",77.089996,77.220001,76.360001,77.129997,3391100,75.487959
"2015-02-19",77.790001,78.330002,77.019997,77.099998,2459400,75.458599
"2015-02-18",77.589996,77.93,77.040001,77.790001,3153200,76.133912
"2015-02-17",78.379997,78.5,77.870003,78,3100400,76.33944
"2015-02-13",79.650002,79.889999,78.57,78.730003,3293800,77.053902
"2015-02-12",79.169998,80.620003,78.940002,79.959999,5921900,77.92691
"2015-02-11",76.800003,79.940002,76.709999,79.529999,7647900,77.507843
"2015-02-10",76.309998,76.730003,75.639999,76.690002,4233400,74.740057
"2015-02-09",75.639999,76.470001,75.620003,76.400002,3154300,74.45743
"2015-02-06",74.809998,76.75,74.43,76.150002,4460200,74.213787
"2015-02-05",74.940002,75.099998,74.480003,74.790001,4072500,72.888366
"2015-02-04",75.25,75.540001,74.209999,74.669998,3381700,72.771414
"2015-02-03",75.120003,75.239998,74.309998,74.790001,2896200,72.888366
"2015-02-02",73.059998,74.980003,73,74.889999,4247400,72.985822
"2015-01-30",73.519997,74.489998,73.43,73.75,6716400,71.874808
"2015-01-29",74.400002,74.580002,73.160004,74.57,3930900,72.673958
"2015-01-28",75.550003,75.550003,73.589996,73.769997,4027700,71.894296
"2015-01-27",75.110001,75.82,74.790001,74.93,2795700,73.024806
"2015-01-26",75.760002,76.099998,75.379997,75.839996,2647800,73.911664
"2015-01-23",75.949997,75.949997,75.199997,75.589996,3265500,73.66802
"2015-01-22",75.970001,76.209999,75.129997,76.019997,3560200,74.087087
"2015-01-21",75.519997,76.449997,75.059998,75.589996,2549400,73.66802
"2015-01-20",76.080002,76.489998,75.309998,76.050003,2744500,74.116331
"2015-01-16",74.470001,76.120003,74.400002,76.029999,4881900,74.096835
"2015-01-15",75.919998,76.099998,74.610001,74.779999,3574500,72.878618
"2015-01-14",74.940002,75.419998,74.260002,74.989998,3263200,73.083278
"2015-01-13",75.199997,76.290001,74.110001,75.260002,5173200,73.346417
"2015-01-09",77.309998,77.540001,75.610001,75.669998,3704100,73.745988
"2015-01-08",77.300003,77.940002,76.860001,77.550003,4083900,75.578191
"2015-01-07",75.050003,76.690002,74.959999,76.599998,5672100,74.652342
"2015-01-06",75.970001,76,73.940002,74.690002,4881600,72.79091
"2015-01-05",75.080002,75.900002,74.269997,74.5,4767900,72.605739
"2015-01-02",76.110001,77.190002,75.089996,76,3938500,74.067599
"2014-12-31",76.489998,76.739998,75.010002,76.199997,3083700,74.262511
"2014-12-30",76.540001,76.900002,76.019997,76.050003,2800700,74.116331
"2014-12-29",76.110001,77.230003,75.940002,76.790001,3430200,74.837513
"2014-12-26",76.980003,77.160004,76.379997,76.459999,2365800,74.515902
"2014-12-24",77.169998,77.980003,76.639999,76.669998,3661800,74.720562
"2014-12-23",75.099998,77.220001,73.599998,76.510002,10249400,74.564634
"2014-12-22",73.129997,74.32,73.029999,74.269997,5466800,72.381583
