"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-07-01",20.5,21,20.219999,20.559999,17743600,20.559999
"2016-06-30",20.610001,21.73,20.549999,21.629999,14657000,21.629999
"2016-06-29",20.92,20.98,19.959999,20.84,17280000,20.84
"2016-06-28",20.57,21,20.35,20.639999,8736900,20.639999
"2016-06-27",20.879999,21.15,19.6,20,15859200,20
"2016-06-24",20.5,21.700001,20.469999,21.309999,20533700,21.309999
"2016-06-23",21.1,21.83,20.67,21.780001,11725600,21.780001
"2016-06-22",21.610001,21.629999,20.75,20.76,8879700,20.76
"2016-06-21",22.25,22.9,20.040001,21.67,36802500,21.67
"2016-06-20",22.690001,22.91,21.65,22.32,17733700,22.32
"2016-06-17",22.299999,22.82,22.200001,22.530001,11845700,22.530001
"2016-06-16",20.940001,22.25,20.549999,22.129999,13474700,22.129999
"2016-06-15",21,22.52,20.879999,21.77,11693000,21.13
"2016-06-14",21.67,22.040001,20.99,21.18,9003500,20.557345
"2016-06-13",21.76,22.290001,21.629999,21.799999,5986300,21.159117
"2016-06-10",22.790001,22.860001,21.85,22.040001,8063400,21.392063
"2016-06-09",22.92,23.59,22.780001,23.280001,7747100,22.595609
"2016-06-08",23.41,23.629999,22.790001,23.18,7498000,22.498549
"2016-06-07",23.68,23.889999,23.26,23.57,7338400,22.877083
"2016-06-06",23.200001,23.700001,22.93,23.379999,8687700,22.692668
"2016-06-03",22.709999,22.91,22.219999,22.83,4765200,22.158838
"2016-06-02",22.26,22.870001,22.01,22.6,5449200,21.9356
"2016-06-01",21.84,22.700001,21.66,22.59,7214200,21.925893
"2016-05-31",21.66,23,21.66,22.16,10498400,21.508534
"2016-05-27",20.690001,21.559999,20.52,21.48,7897000,20.848525
"2016-05-26",21.43,21.51,20.67,20.809999,9040400,20.198222
"2016-05-25",22.299999,22.33,20.940001,21.25,15269800,20.625287
"2016-05-24",22.030001,22.299999,21.450001,22.129999,14955500,21.479416
"2016-05-23",21.959999,22.209999,20.9,21.950001,11343400,21.304709
"2016-05-20",21.85,22.26,21.66,22.15,12608400,21.498828
"2016-05-19",20.43,21.59,20.110001,21.540001,10950500,20.906762
"2016-05-18",21.5,21.76,20.66,20.83,7545300,20.217634
"2016-05-17",20.59,21.969999,20.440001,21.51,11858700,20.877644
"2016-05-16",19.450001,20.65,19.450001,20.59,17362000,19.98469
"2016-05-13",18.92,19.870001,18.85,19.35,13797400,18.781144
"2016-05-12",19.83,19.98,18.889999,19.049999,6455900,18.489962
"2016-05-11",19.32,19.9,18.82,19.5,5567600,18.926734
"2016-05-10",19.02,19.58,18.84,19.139999,5430300,18.577317
"2016-05-09",19.360001,19.450001,18.549999,18.940001,9273100,18.383197
"2016-05-06",20.52,21,19.690001,19.700001,9335800,19.120855
"2016-05-05",18.42,20.629999,18.41,20.57,14791200,19.965277
"2016-05-04",19.110001,19.43,18.35,19.24,9709200,18.674377
"2016-05-03",18.85,19.459999,18.450001,19.389999,9217300,18.819967
"2016-05-02",19.370001,19.370001,18.459999,18.809999,9313900,18.257018
"2016-04-28",20.110001,20.57,19.58,19.639999,8025900,19.062618
"2016-04-27",19.559999,20.57,19.559999,20,16189700,19.412035
"2016-04-26",19.25,19.700001,18.969999,19.389999,8527200,18.819967
"2016-04-25",19.59,19.799999,18.610001,19.059999,5983500,18.499669
"2016-04-22",19.27,19.82,19.139999,19.540001,10089400,18.965559
"2016-04-21",18.9,19.59,18.620001,19.139999,15719700,18.577317
"2016-04-20",17.83,19.15,17.57,18.83,20954600,18.276431
"2016-04-19",16.9,18.049999,16.84,18.01,16079400,17.480538
"2016-04-18",16.959999,17.879999,15.32,16.68,34744700,16.189637
"2016-04-15",17.57,17.940001,17.360001,17.549999,6345700,17.03406
"2016-04-14",18.58,18.58,17.6,17.77,8663400,17.247593
"2016-04-13",17.629999,18.389999,17.42,18.35,9298400,17.810542
"2016-04-12",17.190001,17.860001,16.799999,17.709999,10749700,17.189356
"2016-04-11",16.370001,17.51,16.370001,17.059999,28315000,16.558465
"2016-04-07",15.39,16.02,15.37,15.71,11966100,15.248153
"2016-04-06",14.99,15.8,14.6,15.49,12888400,15.034621
"2016-04-05",15.09,15.2,14.62,14.81,7657100,14.374612
"2016-04-04",15.42,15.71,15.2,15.21,7176000,14.762852
"2016-04-01",15.7,16.32,15.4,15.52,8541400,15.063739
"2016-03-31",15.69,16.120001,15.41,16.07,7605800,15.59757
"2016-03-30",15.9,16.49,15.65,15.66,7785000,15.199623
"2016-03-29",14.91,15.79,14.65,15.7,6597700,15.238447
"2016-03-28",15.77,15.88,15.08,15.14,9758300,14.694911
"2016-03-24",15.79,15.8,14.85,15.35,16644300,14.898737
"2016-03-23",17.74,17.879999,15.95,16.26,9482600,15.781984
"2016-03-22",17.17,17.709999,16.950001,17.629999,6745500,17.111708
"2016-03-21",17.99,18.02,17.209999,17.35,6479700,16.839941
"2016-03-18",18.120001,18.379999,17.82,18.15,15621200,17.616421
"2016-03-17",17.780001,18.209999,17.17,17.76,9464100,17.237887
"2016-03-16",16.200001,17.540001,16.200001,17.440001,9942400,16.927295
"2016-03-15",16.139999,16.18,15.53,16.15,9076500,15.675218
"2016-03-14",15.92,16.77,15.71,16.5,9264100,16.014929
"2016-03-11",16.41,16.66,15.92,16.01,12225400,15.539334
"2016-03-10",17.25,17.299999,14.84,15.89,36169600,15.422862
"2016-03-09",17.68,18.200001,17.299999,17.959999,13623600,16.810821
"2016-03-08",18.889999,18.950001,17.15,17.26,17389300,16.155612
"2016-03-07",19.32,19.9,18.799999,19.059999,14092700,17.840438
"2016-03-04",18.629999,19.35,18.5,19.15,17004800,17.924679
"2016-03-03",17.08,18.15,17.07,18.09,7095700,16.932504
"2016-03-02",16.59,17.24,16.32,17.129999,7216400,16.033929
"2016-03-01",16.139999,16.59,15.78,16.549999,6202200,15.491041
"2016-02-29",15.75,16.549999,15.55,15.99,11488400,14.966873
"2016-02-26",16.35,16.790001,15.5,15.64,10844700,14.639269
"2016-02-25",15.75,16.85,14.92,16.030001,19206600,15.004315
"2016-02-24",15.29,16.700001,14.7,16.629999,7289700,15.565922
"2016-02-23",16.049999,16.129999,15.41,15.6,8999400,14.601828
"2016-02-22",15.95,16.389999,15.64,16.15,8700300,15.116635
"2016-02-19",15.59,15.75,15,15.51,8547000,14.517587
"2016-02-18",15.72,16.290001,14.81,15.92,12024500,14.901352
"2016-02-17",15.43,16,15.06,15.69,9776300,14.686069
"2016-02-16",13.88,15.05,13.81,15.01,12197900,14.049579
"2016-02-12",13.6,14.5,13,13.47,8546300,12.608117
"2016-02-11",12.08,13.98,11.76,13.29,16261500,12.439634
"2016-02-10",11.56,13.78,11.29,12.85,18373600,12.027788
"2016-02-09",11.26,12.15,11,11.98,27066200,11.213454
"2016-02-08",14.93,15,10.22,11.16,62368000,10.445923
"2016-02-05",18.51,18.57,16.950001,17.120001,11478000,16.024571
"2016-02-04",18.530001,19.110001,17.799999,18.75,11564700,17.550274
"2016-02-03",19.02,19.23,16.98,18.41,15426500,17.232029
"2016-02-02",18.85,19.459999,18.5,18.690001,10517900,17.494113
"2016-02-01",18.889999,19.85,18.110001,19.51,14102100,18.261645
"2016-01-29",19.450001,19.84,18.58,19.299999,14964300,18.065081
"2016-01-28",20.41,21.08,19.030001,19.290001,17344800,18.055722
"2016-01-27",20.27,20.43,18.25,19.27,24832100,18.037002
"2016-01-26",18.940001,20.66,18.280001,20.42,18496800,19.113418
"2016-01-25",19.309999,21.790001,18.24,18.309999,20556900,17.138427
"2016-01-22",16.91,19.85,16.870001,19.74,29937000,18.476928
"2016-01-21",15.44,16.790001,15.25,16.040001,17366200,15.013675
"2016-01-20",15.19,15.71,14.13,15.49,15921800,14.498866
"2016-01-19",16.559999,17.65,15.41,15.78,23623400,14.77031
"2016-01-15",15.78,18,15.62,16.1,24055800,15.069835
"2016-01-14",13.42,18.440001,13.24,18.290001,42552100,17.119708
"2016-01-13",16.48,16.540001,12.77,13.61,52053600,12.739158
"2016-01-12",18.93,19.219999,15.19,16.540001,49491600,15.481682
"2016-01-11",20.309999,20.49,18.309999,18.690001,17669600,17.494113
"2016-01-08",21.059999,21.23,19.469999,20.309999,18822000,19.010456
"2016-01-07",22.209999,22.799999,20.6,20.610001,12550600,19.291261
"2016-01-06",25.540001,25.74,22.9,22.9,16953300,21.434734
"2016-01-05",26.41,26.68,25.91,26.33,12394300,24.645264
"2016-01-04",25.52,26.59,25.32,26.24,10992700,24.561023
"2015-12-31",24.120001,25.82,24.049999,25.700001,10001200,24.055576
"2015-12-30",24.26,24.889999,23.83,24.41,10638100,22.848116
"2015-12-29",25.110001,25.709999,24.4,24.870001,9578200,23.278684
"2015-12-28",24.66,25.02,23.969999,24.809999,10681300,23.222522
"2015-12-24",25.43,25.799999,24.75,24.91,10222100,23.316123
"2015-12-23",23.02,25.440001,23,25.34,27406800,23.71861
"2015-12-22",21.99,23.4,21.969999,22.57,25095000,21.125849
"2015-12-21",21.639999,22.09,20.950001,22,20453800,20.592321
"2015-12-18",23.92,24.190001,21.5,21.540001,31978000,20.161755
"2015-12-17",25.76,25.99,23.57,23.700001,13430400,22.183547
"2015-12-16",25.42,26.15,25.360001,25.809999,9425100,24.158536
"2015-12-15",25.84,26.610001,25.690001,25.84,12860800,24.186617
"2015-12-14",26.219999,26.309999,25.08,25.57,8904700,23.933893
"2015-12-11",28.889999,29.01,26.24,26.42,12372700,24.729506
"2015-12-10",28.57,29.940001,28.5,29.68,11899100,27.780913
"2015-12-09",26.969999,29.16,26.709999,28.940001,16909200,27.088263
"2015-12-08",26.120001,28.43,25.52,27.24,18099100,24.897987
