"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-07-11",32.080002,33.009998,32.080002,32.860001,1616100,32.860001
"2016-07-08",33.02,33.130001,32.830002,33.009998,1925100,33.009998
"2016-07-07",32.540001,32.849998,32.419998,32.619999,1747400,32.619999
"2016-07-06",32.029999,32.66,31.99,32.59,2005100,32.59
"2016-07-05",32.84,32.84,32.119999,32.209999,2393600,32.209999
"2016-07-01",33.259998,33.490002,33,33.110001,1813100,33.110001
"2016-06-30",32.25,33.32,32.16,33.310001,2488400,33.310001
"2016-06-29",31.940001,32.330002,31.860001,32.220001,1789800,32.220001
"2016-06-28",31.07,31.809999,31,31.74,2242800,31.74
"2016-06-27",30.9,30.9,30.33,30.67,2798200,30.67
"2016-06-24",31.940001,32.27,31.120001,31.25,5149800,31.25
"2016-06-23",33.16,33.330002,33.07,33.279999,1080900,33.279999
"2016-06-22",32.580002,33.110001,32.48,32.77,1384900,32.77
"2016-06-21",32.459999,32.689999,32.290001,32.580002,2488700,32.580002
"2016-06-20",32.619999,33.029999,32.419998,32.43,2001200,32.43
"2016-06-17",32.43,32.700001,32.169998,32.290001,3861100,32.290001
"2016-06-16",32.110001,32.400002,31.93,32.349998,2045500,32.349998
"2016-06-15",32.650002,32.77,32.25,32.290001,1712200,32.290001
"2016-06-14",32.75,32.82,32.52,32.610001,2578200,32.610001
"2016-06-13",33.02,33.57,32.740002,32.779999,3535500,32.779999
"2016-06-10",33.360001,33.740002,33.259998,33.700001,3303200,33.500001
"2016-06-09",33.040001,33.630001,33.02,33.580002,4061500,33.380714
"2016-06-08",33.290001,33.389999,33,33.150002,2520000,32.953266
"2016-06-07",33.75,33.75,33.380001,33.389999,2811000,33.191839
"2016-06-06",33.669998,33.869999,33.509998,33.740002,1893500,33.539764
"2016-06-03",33.689999,33.889999,33.470001,33.59,2528600,33.390653
"2016-06-02",34.060001,34.369999,33.880001,33.939999,2957300,33.738574
"2016-06-01",34.189999,34.380001,34,34.23,2500800,34.026854
"2016-05-31",34.549999,34.700001,34.169998,34.349998,3626200,34.146141
"2016-05-27",34.259998,34.509998,34.189999,34.48,1603600,34.275371
"2016-05-26",34.450001,34.450001,34.110001,34.220001,2480900,34.016915
"2016-05-25",34.73,34.990002,34.369999,34.450001,2398100,34.24555
"2016-05-24",34.290001,34.709999,34.290001,34.59,5372100,34.384718
"2016-05-23",34.380001,34.450001,34.189999,34.200001,2249000,33.997033
"2016-05-20",34.189999,34.459999,34.169998,34.450001,3622600,34.24555
"2016-05-19",34.029999,34.27,33.84,34.060001,2372000,33.857865
"2016-05-18",33.790001,34.279999,33.73,34.27,3155500,34.066618
"2016-05-17",34.080002,34.349998,33.790001,33.900002,3052600,33.698815
"2016-05-16",34.09,34.25,33.860001,34.09,2090000,33.887686
"2016-05-13",33.860001,34.470001,33.639999,34.169998,3084500,33.967209
"2016-05-12",33.720001,33.889999,33.509998,33.709999,1960000,33.50994
"2016-05-11",33.91,34.18,33.689999,33.689999,2295200,33.490058
"2016-05-10",33.52,34.029999,33.43,34.02,2161400,33.818101
"2016-05-09",33.080002,33.66,33.009998,33.349998,2426200,33.152076
"2016-05-06",32.98,33.150002,32.779999,33.110001,2779400,32.913502
"2016-05-05",32.950001,33.130001,32.509998,33.119999,5016000,32.923441
"2016-05-04",32.240002,32.77,32.130001,32.400002,5817100,32.207717
"2016-05-03",32.049999,32.509998,31.92,32.5,6938600,32.307122
"2016-05-02",32.889999,33.029999,31.99,32.25,6430800,32.058605
"2016-04-29",32.599998,33.040001,32.009998,32.73,4396000,32.535756
"2016-04-28",33.25,34,32.619999,32.740002,9685200,32.545699
"2016-04-27",35.990002,36.049999,35.52,35.860001,2956600,35.647182
"2016-04-26",35.779999,36.080002,35.68,35.919998,1730400,35.706823
"2016-04-25",35.759998,35.860001,35.439999,35.759998,1422800,35.547773
"2016-04-22",35.630001,35.950001,35.43,35.889999,1609800,35.677002
"2016-04-20",36.759998,36.889999,36.400002,36.75,1241400,36.531899
"2016-04-19",36.720001,37.130001,36.509998,36.68,2460600,36.462315
"2016-04-18",36.310001,36.540001,35.939999,36.540001,1633600,36.323146
"2016-04-15",36.490002,36.490002,36.310001,36.369999,1752200,36.154153
"2016-04-14",36.349998,36.650002,36.189999,36.41,1328300,36.193917
"2016-04-13",36.560001,36.720001,36.150002,36.459999,1575000,36.243619
"2016-04-12",35.959999,36.380001,35.790001,36.330002,1501200,36.114394
"2016-04-11",35.919998,36.18,35.700001,35.860001,1765100,35.647182
"2016-04-08",35.59,35.880001,35.529999,35.720001,1350400,35.508013
"2016-04-07",35.740002,35.740002,35.200001,35.43,2409200,35.219733
"2016-04-06",36.080002,36.189999,35.68,35.91,1679600,35.696884
"2016-04-05",36.599998,36.669998,36.040001,36.080002,1464700,35.865877
"2016-04-04",37.200001,37.220001,36.73,36.790001,1217100,36.571663
"2016-04-01",36.779999,37.23,36.59,37.16,1804300,36.939466
"2016-03-31",36.790001,36.869999,36.52,36.799999,2563200,36.581602
"2016-03-30",37,37.220001,36.740002,36.889999,1606100,36.671068
"2016-03-29",36.869999,36.990002,36.560001,36.869999,1418100,36.651186
"2016-03-28",36.650002,36.939999,36.59,36.900002,1018000,36.681011
"2016-03-24",36.700001,36.810001,36.419998,36.610001,1923300,36.392731
"2016-03-23",36.93,37.130001,36.759998,37.049999,1681200,36.830118
"2016-03-22",36.799999,37.139999,36.669998,36.91,1360300,36.69095
"2016-03-21",36.77,37.040001,36.709999,36.830002,1424800,36.611426
"2016-03-18",36.080002,36.799999,36.009998,36.77,3041300,36.551781
"2016-03-17",35.77,36.400002,35.669998,36.299999,2716000,36.084569
"2016-03-16",35.75,35.939999,35.630001,35.720001,1373300,35.508013
"2016-03-15",35.299999,35.93,35.25,35.889999,1494800,35.677002
"2016-03-14",35.630001,35.650002,35.310001,35.560001,1516900,35.348963
"2016-03-11",35.310001,35.810001,35.209999,35.799999,1717700,35.587536
"2016-03-10",35.240002,35.48,34.599998,35.130001,1732000,34.722702
"2016-03-09",35.400002,35.490002,35.09,35.23,1637700,34.821541
"2016-03-08",35.110001,35.709999,35.029999,35.259998,2150800,34.851192
"2016-03-07",35.139999,35.59,35.049999,35.380001,2406200,34.969803
"2016-03-04",35.650002,35.650002,35,35.32,3389000,34.910498
"2016-03-03",35.810001,35.98,35.630001,35.849998,2195400,35.434352
"2016-03-02",35.490002,36.060001,35.349998,35.919998,2604000,35.50354
"2016-03-01",34.610001,35.560001,34.580002,35.560001,2674500,35.147717
"2016-02-29",34.549999,34.709999,34.240002,34.380001,2123600,33.981397
"2016-02-26",34.799999,34.950001,34.419998,34.639999,2313900,34.238381
"2016-02-25",34.509998,34.68,34.32,34.650002,1593800,34.248267
"2016-02-24",34.099998,34.419998,33.98,34.369999,2124800,33.971511
"2016-02-23",34.209999,34.439999,33.93,34.310001,1743500,33.912209
"2016-02-22",34.5,34.709999,34.07,34.279999,1874700,33.882555
"2016-02-19",34.049999,34.360001,33.91,34.279999,2258900,33.882555
"2016-02-18",34.27,34.360001,33.950001,34.080002,2730600,33.684876
"2016-02-17",34.790001,34.939999,34.110001,34.220001,3977300,33.823253
"2016-02-16",35.09,35.09,34.529999,34.650002,2112400,34.248267
"2016-02-12",33.700001,34.630001,33.59,34.580002,2085400,34.179079
"2016-02-11",33.080002,33.490002,33.060001,33.200001,2696300,32.815078
"2016-02-10",34.400002,34.650002,33.720001,33.73,2981000,33.338932
"2016-02-09",34.540001,35.169998,34.509998,34.759998,2015400,34.356989
"2016-02-08",34.43,34.830002,34.259998,34.720001,2475200,34.317456
"2016-02-05",34.470001,35.09,34.470001,34.84,2129600,34.436063
"2016-02-04",33.970001,35.07,33.950001,34.630001,3641700,34.228499
"2016-02-03",35.950001,36.009998,35.02,35.619999,2429200,35.207019
"2016-02-02",36,36.060001,35.580002,35.700001,2438100,35.286093
"2016-02-01",36.02,36.529999,35.880001,36.349998,1800800,35.928555
"2016-01-29",35.439999,36.290001,35.32,36.259998,2518700,35.839598
"2016-01-28",34.860001,35.34,34.639999,35.189999,1952500,34.782004
"2016-01-27",34.740002,35.310001,34.439999,34.619999,1902100,34.218613
"2016-01-26",34.740002,35.130001,34.709999,34.919998,2261800,34.515134
"2016-01-25",35.209999,35.27,34.709999,34.740002,2581200,34.337224
"2016-01-22",35.48,35.549999,35.080002,35.310001,2366300,34.900615
"2016-01-21",34.880001,35.439999,34.77,34.990002,2990200,34.584326
"2016-01-20",34.900002,35.150002,34.119999,34.880001,2199300,34.4756
"2016-01-19",35.82,35.889999,35.16,35.380001,2362700,34.969803
"2016-01-15",34.580002,35.68,34.580002,35.5,3670400,35.088411
"2016-01-14",35.07,35.889999,34.950001,35.459999,3261800,35.048874
"2016-01-13",36.119999,36.220001,34.91,35.029999,3281000,34.623859
"2016-01-12",36.220001,36.27,35.48,35.93,4376100,35.513426
"2016-01-11",36.369999,36.580002,35.540001,36.09,4870200,35.671571
"2016-01-08",37.369999,37.369999,36.419998,36.450001,2335000,36.027397
"2016-01-07",37.32,37.869999,37.119999,37.169998,2791500,36.739047
"2016-01-06",37.799999,38.049999,37.689999,37.959999,1542500,37.519889
"2016-01-05",38.220001,38.509998,38.189999,38.290001,2223800,37.846064
"2016-01-04",38.669998,38.700001,37.91,38.209999,2922700,37.76699
"2015-12-31",39.82,39.82,39.18,39.18,1894100,38.725745
"2015-12-30",40.400002,40.48,39.82,39.82,2278500,39.358324
"2015-12-29",40.060001,40.450001,39.98,40.41,1277900,39.941484
"2015-12-28",39.700001,39.919998,39.400002,39.860001,1867200,39.397861
"2015-12-24",39.41,40.009998,39.360001,39.84,818400,39.378093
"2015-12-23",39.259998,39.540001,38.959999,39.459999,2419000,39.002498
"2015-12-22",38.099998,39.200001,38.02,39.099998,2206600,38.646671
"2015-12-21",37.849998,38.009998,37.470001,37.900002,1479000,37.460587
"2015-12-18",38.279999,38.330002,37.57,37.66,4997600,37.223368
"2015-12-17",38.509998,38.779999,38.189999,38.389999,1894000,37.944904
"2015-12-16",38.48,38.700001,37.689999,38.450001,2044900,38.004209
"2015-12-15",38.049999,38.52,37.939999,38.27,1931600,37.826296
"2015-12-14",37.580002,38.040001,37.419998,37.689999,2590900,37.253019
"2015-12-11",37.549999,37.889999,37.360001,37.419998,2220100,36.986149
"2015-12-10",38.509998,38.509998,38.029999,38.189999,1719000,37.549541
"2015-12-09",38.73,39.209999,38.400002,38.450001,1530000,37.805183
"2015-12-08",38.810001,39.169998,38.810001,38.959999,2012900,38.306628
"2015-12-07",39,39.169998,38.779999,39.139999,2503700,38.48361
"2015-12-04",38.52,39.150002,38.32,39.139999,1429700,38.48361
"2015-12-03",38.720001,38.77,38.150002,38.290001,2466800,37.647866
"2015-12-02",38.68,38.869999,38.57,38.610001,1751400,37.962499
"2015-12-01",38.419998,38.849998,38.349998,38.759998,2244000,38.109981
"2015-11-30",38.099998,38.25,37.830002,38.18,2268200,37.53971
"2015-11-27",37.900002,38.080002,37.799999,38.02,709900,37.382394
"2015-11-25",38.18,38.43,37.790001,37.84,1188200,37.205412
"2015-11-24",38.049999,38.41,37.82,38.18,1282100,37.53971
"2015-11-23",38.389999,38.580002,38.16,38.209999,1241000,37.569206
"2015-11-20",38.310001,38.5,38.119999,38.389999,2206800,37.746187
"2015-11-19",37.389999,38.119999,37.220001,38.080002,1965700,37.441389
"2015-11-18",36.959999,37.419998,36.959999,37.400002,2617100,36.772792
"2015-11-17",37.200001,37.419998,36.860001,36.91,1936300,36.291008
"2015-11-16",36.709999,37.27,36.709999,37.220001,2392400,36.595811
"2015-11-13",37.09,37.299999,36.709999,36.759998,1830000,36.143522
"2015-11-12",37.52,37.689999,37.139999,37.139999,1676200,36.51715
"2015-11-11",37.720001,37.860001,37.549999,37.68,945600,37.048095
"2015-11-10",37.34,37.709999,37.25,37.549999,1328500,36.920274
"2015-11-09",37.529999,37.580002,37.23,37.360001,1242500,36.733462
"2015-11-06",37.66,37.860001,37.439999,37.599998,1354400,36.969435
"2015-11-05",37.669998,37.810001,37.439999,37.57,1136900,36.939939
"2015-11-04",38.279999,38.279999,37.549999,37.689999,2239900,37.057926
"2015-11-03",38.139999,38.290001,37.939999,38.139999,1400700,37.50038
"2015-11-02",38.18,38.310001,37.950001,38.209999,1422900,37.569206
"2015-10-30",38.25,38.349998,38.080002,38.080002,1942300,37.441389
"2015-10-29",38.48,38.630001,38.150002,38.32,1842100,37.677362
"2015-10-28",38.259998,38.560001,37.939999,38.490002,2156900,37.844513
