"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-12-01",49.869999,50.470001,49.650002,50.240002,3917300,49.537184
"2015-11-30",49.110001,49.880001,49.110001,49.689999,2233100,48.994875
"2015-11-27",48.939999,49.299999,48.939999,49.23,680300,48.541311
"2015-11-25",49.07,49.279999,48.720001,49.009998,1684100,48.324387
"2015-11-24",48.25,49.369999,48.220001,49.23,2582500,48.541311
"2015-11-20",49.189999,49.189999,48.73,48.939999,1273300,48.255367
"2015-11-19",48.66,49.060001,48.43,48.919998,1860800,48.235646
"2015-11-18",48.049999,48.810001,48.009998,48.700001,2848700,48.018726
"2015-11-17",47.259998,48.040001,47.110001,47.849998,2484000,47.180615
"2015-11-16",46.68,47.130001,46.529999,47.09,1762500,46.431248
"2015-11-13",46.43,46.990002,46.25,46.540001,1936100,45.888943
"2015-11-12",46.98,47.189999,46.66,46.66,1598900,46.007263
"2015-11-11",47.23,47.529999,47.029999,47.080002,1647300,46.42139
"2015-11-10",47.080002,47.259998,46.82,47.060001,2280400,46.401669
"2015-11-09",47.349998,47.610001,47.209999,47.360001,2009300,46.697472
"2015-11-06",47.080002,47.639999,46.93,47.630001,2237400,46.963695
"2015-11-05",47.490002,47.720001,47,47.209999,1868600,46.549568
"2015-11-04",47.200001,47.549999,47.099998,47.380001,2508700,46.717192
"2015-11-03",47.290001,47.790001,47.240002,47.290001,2225800,46.628451
"2015-11-02",47.779999,47.880001,47.580002,47.75,2729000,46.776353
"2015-10-30",47.950001,48.389999,47.509998,47.619999,3738300,46.649003
"2015-10-29",48.459999,48.77,47.700001,48,3427800,47.021255
"2015-10-28",49.330002,49.369999,48.5,49.130001,4024400,48.128215
"2015-10-27",47.580002,49.400002,47.529999,49.220001,7135900,48.21638
"2015-10-26",47.240002,48.040001,47.18,47.799999,3643000,46.825333
"2015-10-23",47.509998,47.630001,46.98,47.16,5462700,46.198383
"2015-10-22",47.09,48.189999,47.02,47.630001,3896600,46.658801
