"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-05-01",11.55,11.64,11.5,11.52,15623100,11.112414
"2015-04-30",11.56,11.56,11.28,11.5,20573300,11.093121
"2015-04-29",11.64,11.78,11.51,11.53,18267400,11.122059
"2015-04-28",11.56,11.75,11.38,11.73,15738700,11.314983
"2015-04-27",11.88,11.88,11.45,11.62,26759600,11.208875
"2015-04-24",12.06,12.23,11.32,11.99,41040500,11.565784
"2015-04-23",12.87,13.21,12.87,13.14,10805600,12.675097
"2015-04-22",12.82,12.95,12.73,12.92,5280800,12.46288
"2015-04-21",13.04,13.08,12.79,12.79,6535000,12.33748
"2015-04-20",12.97,13.15,12.95,13.01,5626200,12.549696
"2015-04-17",12.82,12.93,12.68,12.89,7895700,12.433942
"2015-04-16",13,13.07,12.85,12.92,7398800,12.46288
"2015-04-15",13.15,13.23,13.09,13.11,6058600,12.646158
"2015-04-14",13.22,13.29,13.01,13.09,6828100,12.626866
"2015-04-13",13.23,13.32,13.16,13.16,3972900,12.694389
"2015-04-10",13.24,13.33,13.15,13.26,5079500,12.790851
"2015-04-09",13.06,13.17,12.97,13.13,4143500,12.66545
"2015-04-08",13.22,13.29,13,13.1,4927000,12.636512
"2015-04-07",12.97,13.09,12.94,12.96,4171900,12.501465
"2015-04-06",12.65,12.95,12.61,12.95,4691200,12.491819
"2015-04-02",12.72,12.84,12.68,12.77,7407400,12.318188
"2015-04-01",12.85,12.87,12.65,12.67,7941000,12.221726
"2015-03-31",12.79,12.98,12.79,12.85,7600600,12.395357
"2015-03-30",12.64,12.95,12.64,12.84,6754000,12.385711
"2015-03-27",12.86,12.88,12.53,12.59,7193000,12.144556
"2015-03-26",12.85,12.96,12.7,12.87,6572200,12.347127
"2015-03-25",13.22,13.31,12.87,12.9,8766600,12.375907
"2015-03-24",13.24,13.34,13.17,13.23,9122900,12.6925
"2015-03-23",13.18,13.35,13.16,13.24,6153000,12.702094
"2015-03-20",12.89,13.25,12.75,13.18,15805600,12.644532
"2015-03-19",12.97,13.05,12.83,12.84,7850900,12.318346
"2015-03-18",12.82,13.11,12.71,12.99,8762900,12.462251
"2015-03-17",12.86,12.92,12.77,12.83,5107700,12.308752
"2015-03-16",12.72,12.92,12.65,12.89,7140200,12.366314
"2015-03-13",12.68,12.77,12.59,12.75,7044600,12.232002
"2015-03-12",12.82,12.87,12.64,12.67,8060300,12.155252
"2015-03-11",12.77,13.11,12.72,12.87,8767000,12.347127
"2015-03-10",13.2,13.22,12.74,12.75,11049200,12.232002
"2015-03-09",13.14,13.31,13.07,13.26,6938500,12.721282
"2015-03-06",13.46,13.46,13.08,13.14,8074000,12.606158
"2015-03-05",13.37,13.53,13.22,13.52,8671300,12.970719
"2015-03-04",13.43,13.43,13.24,13.37,5892000,12.826813
"2015-03-03",13.43,13.63,13.39,13.43,5615600,12.884376
"2015-03-02",13.65,13.72,13.48,13.58,7803200,13.028281
"2015-02-27",13.3,13.66,13.15,13.65,11841200,13.095437
"2015-02-26",13.7,13.73,13.3,13.36,11479800,12.817219
"2015-02-25",13.9,13.91,13.6,13.7,7453700,13.143406
"2015-02-24",13.88,14,13.79,13.98,5314400,13.41203
"2015-02-23",13.96,14.01,13.77,13.92,4703300,13.354468
"2015-02-20",13.74,14.02,13.67,14,5967700,13.431218
"2015-02-19",13.81,13.93,13.73,13.75,4852500,13.191375
"2015-02-18",13.69,13.89,13.6,13.83,4422500,13.268124
"2015-02-17",13.74,13.75,13.59,13.69,5655900,13.133812
"2015-02-13",13.58,13.81,13.58,13.77,6943100,13.210563
"2015-02-12",13.51,13.63,13.47,13.57,6308500,13.018687
"2015-02-11",13.52,13.58,13.39,13.47,5282800,12.922751
"2015-02-10",13.47,13.51,13.25,13.49,7952600,12.941937
"2015-02-09",13.38,13.5,13.35,13.4,5869600,12.855594
"2015-02-06",13.5,13.54,13.38,13.43,6705200,12.884376
"2015-02-05",13.45,13.51,13.36,13.46,6500200,12.913157
"2015-02-04",13.35,13.53,13.33,13.41,9476100,12.865188
"2015-02-03",13.53,13.65,13.32,13.43,11009900,12.884376
"2015-02-02",13.17,13.42,13,13.38,8941900,12.836407
"2015-01-30",13.25,13.51,12.94,13.17,18474500,12.634939
"2015-01-29",13.24,13.63,13.14,13.56,10439900,13.009094
"2015-01-28",13.7,13.71,13.23,13.24,7759600,12.702094
"2015-01-27",13.48,13.7,13.41,13.57,6813000,13.018687
"2015-01-26",13.81,13.88,13.59,13.74,5026900,13.181781
"2015-01-23",14,14.15,13.78,13.8,5315000,13.239343
"2015-01-22",13.65,14,13.57,13.97,5104000,13.402437
"2015-01-21",13.43,13.59,13.34,13.58,4914000,13.028281
"2015-01-20",13.63,13.68,13.35,13.5,5104900,12.951531
"2015-01-16",13.34,13.61,13.21,13.6,5816600,13.047469
"2015-01-15",13.73,13.81,13.38,13.39,5992100,12.846001
"2015-01-14",13.48,13.74,13.41,13.72,7597700,13.162594
"2015-01-13",13.67,13.97,13.48,13.66,6274000,13.105031
"2015-01-12",13.75,13.75,13.48,13.59,4334000,13.037875
"2015-01-09",13.82,13.84,13.51,13.73,8083500,13.172187
"2015-01-08",13.52,13.82,13.52,13.81,6229200,13.248937
"2015-01-07",13.33,13.5,13.23,13.44,4836400,12.893969
"2015-01-06",13.47,13.49,13.08,13.27,7165600,12.730876
"2015-01-05",13.64,13.72,13.34,13.45,7032900,12.903563
"2015-01-02",13.88,14.02,13.66,13.75,3910700,13.191375
"2014-12-31",14.02,14.1,13.83,13.86,3650100,13.296905
"2014-12-30",14.1,14.2,13.98,14.01,3519000,13.440812
"2014-12-29",14.1,14.22,14.1,14.14,4364200,13.56553
"2014-12-26",14.08,14.24,14.01,14.14,2721300,13.505089
"2014-12-24",14.1,14.18,14.06,14.08,1644200,13.447783
"2014-12-23",13.98,14.15,13.97,14.07,4977200,13.438232
"2014-12-22",13.98,14.04,13.92,13.97,5349300,13.342722
"2014-12-19",14.03,14.29,13.91,13.96,12745900,13.333171
"2014-12-18",13.69,13.9,13.65,13.89,6376700,13.266314
"2014-12-17",13.39,13.51,13.31,13.46,6825000,12.855622
"2014-12-16",13.25,13.57,13.18,13.35,11089800,12.750561
"2014-12-15",13.52,13.54,13.17,13.34,7617400,12.74101
"2014-12-11",13.64,13.85,13.63,13.77,6142800,13.151703
"2014-12-10",13.92,13.96,13.57,13.6,8399000,12.989336
"2014-12-09",13.9,14,13.8,13.97,8164700,13.342722
"2014-12-08",14.36,14.36,14.03,14.06,6015100,13.428681
"2014-12-05",14.19,14.32,14.15,14.32,4423200,13.677006
"2014-12-04",14.1,14.25,14.05,14.2,6908500,13.562394
"2014-12-03",13.84,14.22,13.83,14.21,10691000,13.571946
"2014-12-02",13.8,13.93,13.78,13.84,5048800,13.218559
"2014-12-01",13.9,13.94,13.75,13.83,4303100,13.209008
"2014-11-28",13.87,14.03,13.84,13.96,3094200,13.333171
"2014-11-26",13.8,13.9,13.72,13.89,3804700,13.266314
"2014-11-25",13.72,13.83,13.69,13.76,6371300,13.142152
"2014-11-24",13.65,13.77,13.59,13.68,8568400,13.065744
"2014-11-21",13.65,13.8,13.54,13.58,6361200,12.970234
"2014-11-20",13.4,13.57,13.34,13.54,8755100,12.93203
"2014-11-19",13.59,13.6,13.36,13.43,5084900,12.826969
"2014-11-18",13.5,13.75,13.46,13.63,5510200,13.017989
"2014-11-17",13.42,13.55,13.35,13.49,5336100,12.884275
"2014-11-14",13.44,13.59,13.41,13.43,5614600,12.826969
"2014-11-13",13.51,13.56,13.43,13.45,6409300,12.846071
"2014-11-12",13.42,13.56,13.36,13.53,6882700,12.922479
"2014-11-11",13.4,13.75,13.4,13.52,6958900,12.912928
"2014-11-10",13.42,13.45,13.32,13.37,5002500,12.769663
"2014-11-07",13.3,13.51,13.21,13.45,5537300,12.846071
"2014-11-06",13.18,13.37,13.11,13.3,4671300,12.702806
"2014-11-05",13.24,13.27,13.06,13.16,6986200,12.569092
"2014-11-04",13.27,13.31,13.1,13.16,5780200,12.569092
"2014-11-03",13.27,13.34,13.15,13.29,6431500,12.693255
"2014-10-31",13.02,13.32,12.89,13.28,8603800,12.683704
"2014-10-30",12.88,12.97,12.75,12.81,5590300,12.234808
"2014-10-29",13.04,13.17,12.78,12.94,8419500,12.35897
"2014-10-28",12.86,13.03,12.8,13.02,6117800,12.435379
"2014-10-27",12.57,12.87,12.5,12.82,9900300,12.244359
"2014-10-24",12.6,12.81,12.39,12.55,11080600,11.986483
"2014-10-23",12.41,12.86,12.39,12.78,15831800,12.206155
"2014-10-22",13.25,13.64,12.14,12.21,24256900,11.661749
"2014-10-21",12.83,13.24,12.81,13.2,9992700,12.607296
"2014-10-20",12.61,12.71,12.51,12.68,9215700,12.110646
"2014-10-17",12.55,12.73,12.48,12.68,9622000,12.110646
"2014-10-16",12.47,12.61,12.4,12.43,11888800,11.871871
"2014-10-15",12.58,12.77,12.24,12.71,15173600,12.139298
"2014-10-14",12.5,12.99,12.5,12.78,11001700,12.206155
"2014-10-13",12.56,12.72,12.37,12.39,9183400,11.833667
"2014-10-10",12.77,12.85,12.54,12.54,6004700,11.976932
"2014-10-09",13.01,13.09,12.73,12.76,7751800,12.187053
"2014-10-08",12.8,13.11,12.7,13.09,7831100,12.502236
"2014-10-07",12.91,12.99,12.75,12.76,6682200,12.187053
"2014-10-06",13.16,13.16,12.91,12.99,7538200,12.406726
"2014-10-03",13.03,13.15,13,13.05,8421100,12.464032
"2014-10-02",13.07,13.14,12.67,12.98,7188300,12.397174
"2014-10-01",13.24,13.26,13.04,13.08,9069800,12.492685
"2014-09-30",13.23,13.31,13.17,13.23,6003100,12.635949
"2014-09-29",13.12,13.38,13.09,13.24,7094800,12.6455
"2014-09-26",13.27,13.31,13.12,13.21,5937200,12.616847
"2014-09-25",13.58,13.58,13.23,13.26,8500000,12.604432
"2014-09-24",13.57,13.6,13.45,13.58,7343600,12.908611
"2014-09-23",13.64,13.8,13.53,13.58,7749100,12.908611
"2014-09-22",13.94,13.95,13.45,13.65,10696900,12.97515
"2014-09-19",13.95,14.06,13.89,13.98,12230700,13.288835
"2014-09-18",13.94,14.05,13.85,13.88,9882800,13.193779
"2014-09-17",13.73,14,13.7,13.9,8486900,13.21279
"2014-09-16",13.4,13.74,13.37,13.7,6908300,13.022678
"2014-09-15",13.57,13.61,13.23,13.4,8305800,12.73751
"2014-09-12",13.58,13.63,13.48,13.55,5446700,12.880094
"2014-09-11",13.59,13.66,13.46,13.6,4388400,12.927622
"2014-09-10",13.48,13.64,13.44,13.63,4713900,12.956139
"2014-09-09",13.4,13.57,13.33,13.47,7984900,12.80405
"2014-09-08",13.54,13.63,13.31,13.39,9736000,12.728005
"2014-09-05",13.67,13.76,13.51,13.53,10884700,12.861083
"2014-09-04",14.06,14.15,13.6,13.62,16234000,12.946633
"2014-09-03",13.85,14.07,13.82,14.05,7331400,13.355375
"2014-09-02",13.86,13.95,13.77,13.84,4550300,13.155757
"2014-08-29",13.79,13.88,13.71,13.81,4945600,13.12724
"2014-08-28",13.65,13.77,13.58,13.76,5040700,13.079712
"2014-08-27",13.66,13.74,13.66,13.71,4617700,13.032184
"2014-08-26",13.66,13.75,13.6,13.67,3496100,12.994161
"2014-08-25",13.63,13.69,13.57,13.61,2928100,12.937127
"2014-08-22",13.57,13.65,13.54,13.59,4549200,12.918117
"2014-08-21",13.52,13.64,13.48,13.6,4691800,12.927622
"2014-08-20",13.47,13.63,13.4,13.54,12802800,12.870588
"2014-08-19",13.48,13.51,13.36,13.45,8874600,12.785038
"2014-08-18",13.41,13.56,13.39,13.49,6413900,12.82306
"2014-08-15",13.44,13.51,13.3,13.39,7319900,12.728005
"2014-08-14",13.6,13.62,13.42,13.45,7558600,12.785038
"2014-08-13",13.48,13.58,13.45,13.58,6274300,12.908611
