"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-07-11",124.790001,125.489998,124.370003,125.080002,1216500,125.080002
"2016-07-08",122.93,124.980003,121.889999,124.889999,1370400,124.889999
"2016-07-07",121.599998,122.800003,121.580002,122.019997,1483600,122.019997
"2016-07-06",119.82,121.870003,119.330002,121.779999,1837800,121.779999
"2016-07-05",120.589996,120.620003,119.220001,119.949997,1189400,119.949997
"2016-07-01",120.629997,121.059998,120.25,120.68,863300,120.68
"2016-06-30",119.669998,120.379997,118.68,120.379997,1499000,120.379997
"2016-06-29",118.239998,119.330002,117.870003,119.150002,1309500,119.150002
"2016-06-28",116.620003,117.419998,115.519997,117.32,1379300,117.32
"2016-06-27",116.510002,116.720001,114.110001,115.339996,1726800,115.339996
"2016-06-24",117.779999,118.900002,116.400002,116.690002,6623800,116.690002
"2016-06-23",119.379997,120.919998,119.160004,120.919998,1941900,120.919998
"2016-06-22",118.400002,119.529999,118.230003,118.629997,1431400,118.629997
"2016-06-21",118.589996,119.050003,117.82,118.589996,2469900,118.349999
"2016-06-20",117.510002,119.040001,117.330002,117.650002,2626600,117.411907
"2016-06-17",116.669998,116.879997,115.449997,116.480003,2234600,116.244276
"2016-06-16",116.080002,116.779999,114.949997,116.709999,2138400,116.473806
"2016-06-15",117,117.150002,116.129997,116.419998,1842200,116.184392
"2016-06-14",115.040001,116.830002,115.040001,116.82,6192000,116.583584
"2016-06-13",118.470001,119.959999,118.169998,118.239998,1578100,118.000709
"2016-06-10",118.959999,119.269997,118.220001,119.230003,1098800,118.988711
"2016-06-09",119.300003,120.129997,118.809998,119.400002,1114800,119.158365
"2016-06-08",119.43,120.080002,118.110001,119.760002,1648600,119.517637
"2016-06-07",121.050003,121.120003,116.220001,119.43,4130700,119.188303
"2016-06-06",121.809998,122.290001,121.150002,121.540001,2121700,121.294034
"2016-06-03",122.720001,122.769997,121.230003,121.82,1246800,121.573466
"2016-06-02",122.150002,122.910004,121.669998,122.910004,862200,122.661264
"2016-06-01",122.110001,122.410004,121.019997,122.150002,953000,121.9028
"2016-05-31",122.910004,123,121.269997,122.110001,2028900,121.86288
"2016-05-27",122.339996,123.43,122.059998,123.07,1022700,122.820936
"2016-05-26",121.790001,122.629997,121.029999,122.489998,1302100,122.242108
"2016-05-25",121.199997,122.269997,120.910004,121.93,1593000,121.683244
"2016-05-24",119.75,120.900002,119.43,120.760002,1616900,120.515613
"2016-05-23",119.379997,119.970001,118.959999,119.43,1150400,119.188303
"2016-05-20",118.779999,119.709999,118.370003,119.330002,1650700,119.088507
"2016-05-19",118.230003,118.940002,116.93,118.190002,1002600,117.950815
"2016-05-18",118.25,119.720001,117.849998,118.82,929400,118.579537
"2016-05-17",119.059998,119.839996,117.849998,118.5,1060200,118.260185
"2016-05-16",117.480003,119.989998,117.449997,119.599998,1545900,119.357957
"2016-05-13",117.089996,118.610001,116.610001,117.440002,1667000,117.202332
"2016-05-12",117.230003,117.949997,116.120003,117.440002,1283600,117.202332
"2016-05-11",117.25,118.559998,116.889999,116.93,903200,116.693362
"2016-05-10",116.519997,117.480003,116.309998,117.379997,922400,117.142449
"2016-05-09",115.830002,117.290001,115.599998,116.43,1276500,116.194374
"2016-05-06",115.910004,116.080002,114.389999,115.400002,851600,115.16646
"2016-05-05",114.900002,115.970001,114.269997,115.940002,904500,115.705368
"2016-05-04",114.459999,114.980003,113.739998,114.690002,1315400,114.457898
"2016-05-03",115.690002,115.940002,114.540001,114.900002,1150800,114.667472
"2016-05-02",115.769997,116.129997,114.5,115.93,1632700,115.695386
"2016-04-29",115,116.440002,114.349998,115.769997,1969300,115.535706
"2016-04-28",116.010002,117.769997,114.510002,115,2483600,114.767268
"2016-04-27",115.540001,117,115.32,115.889999,1378700,115.655466
"2016-04-26",115,115.550003,114.459999,115.209999,931500,114.976842
"2016-04-25",114.110001,115,113.739998,114.660004,1020300,114.42796
"2016-04-22",114.620003,115.209999,114.209999,114.760002,987100,114.527756
"2016-04-21",114.510002,115.940002,113.730003,114.400002,1230100,114.168484
"2016-04-20",113.839996,115.410004,113.360001,114.839996,1298500,114.607588
"2016-04-19",114.120003,114.589996,113.440002,113.839996,1169400,113.609612
"2016-04-18",113.660004,113.949997,112.949997,113.610001,1145800,113.380082
"2016-04-15",115,115.050003,112.080002,114.029999,1806300,113.79923
"2016-04-14",114.300003,115.760002,114.059998,115.43,1548400,115.196398
"2016-04-13",111.830002,114.519997,111.660004,114.449997,2541600,114.218378
"2016-04-12",109.690002,111.739998,109.379997,111.57,1898800,111.344209
"2016-04-11",109.059998,109.709999,108.669998,109.300003,1396000,109.078806
"2016-04-08",108.5,109.169998,108.5,108.959999,1319100,108.739491
"2016-04-07",107.809998,108.199997,107.169998,108.150002,1694400,107.931132
"2016-04-06",105.860001,108.57,105.650002,108.089996,1370100,107.871249
"2016-04-05",106.07,107.169998,105.529999,105.980003,1348500,105.765526
"2016-04-04",107.720001,108.620003,106.550003,106.860001,1525700,106.643742
"2016-04-01",106.309998,107.639999,105.830002,107.370003,1658600,107.152712
"2016-03-31",106.879997,107.220001,106.25,106.629997,1322800,106.414204
"2016-03-30",106.410004,107.010002,105.93,106.699997,1356100,106.484062
"2016-03-29",104.43,105.949997,103.949997,105.839996,986500,105.625802
"2016-03-28",105.260002,105.93,103.760002,104.339996,783300,103.88932
"2016-03-24",103.580002,104.309998,103.07,103.739998,852400,103.291913
"2016-03-23",104.580002,105,103.779999,104.43,921800,103.978935
"2016-03-22",103.349998,104.82,103.169998,104.410004,942300,103.959024
"2016-03-18",103.650002,104.720001,103.220001,104.510002,1381800,104.058591
"2016-03-17",104.010002,104.940002,102.900002,103.589996,758200,103.142559
"2016-03-16",104.099998,105.089996,103.330002,104.260002,921200,103.809671
"2016-03-15",104.389999,105.050003,104.099998,104.309998,1299600,103.85945
"2016-03-14",104,105.480003,103.760002,105.050003,1961800,104.59626
"2016-03-11",101.860001,104.599998,101.860001,104.599998,2302900,104.148199
"2016-03-10",101.550003,101.550003,100.419998,100.860001,1850000,100.424355
"2016-03-09",100.650002,101.230003,100.059998,100.379997,747700,99.946425
"2016-03-08",100,101.220001,99.419998,100.550003,1255900,100.115696
"2016-03-07",98.459999,100.720001,98.389999,100.68,1932400,100.245132
"2016-03-04",98.080002,99.830002,97.839996,99.290001,1133400,98.861137
"2016-03-03",97.019997,99.07,97.019997,98.889999,1201400,98.462863
